ORGANIZATION NAME,CONTACT JOB DEPARTMENTS,INDUSTRIES,HEADQUARTERS LOCATION,COUNTRY,DESCRIPTION,FOUNDED DATE,FOUNDED DATE PRECISION,FOUNDERS,NUMBER OF EMPLOYEES,FUNDING STATUS,LAST FUNDING DATE,LAST FUNDING TYPE,NUMBER OF INVESTMENTS,NUMBER OF EXITS,INDUSTRY GROUPS,IPO STATUS,IPO DATE,DELISTED DATE,DELISTED DATE PRECISION,MONEY RAISED AT IPO,MONEY RAISED AT IPO CURRENCY,MONEY RAISED AT IPO CURRENCY (IN USD),VALUATION AT IPO,VALUATION AT IPO CURRENCY,VALUATION AT IPO CURRENCY (IN USD),STOCK EXCHANGE,DIVERSITY SPOTLIGHT (US HEADQUARTERS ONLY),NUMBER OF DIVERSITY INVESTMENTS,TRANSACTION NAME,ACQUIRED BY,ANNOUNCED DATE,ANNOUNCED DATE PRECISION,PRICE,PRICE CURRENCY,PRICE CURRENCY (IN USD),LAST LEADERSHIP HIRING DATE,CB RANK (ORGANIZATION),CB RANK (COMPANY),CB RANK (SCHOOL),LAST LAYOFF MENTION DATE,HEADQUARTERS REGIONS,ESTIMATED REVENUE RANGE,OPERATING STATUS,WEBSITE,TWITTER,FACEBOOK,LINKEDIN,CONTACT EMAIL,PHONENUMBER,NUMBER OF ARTICLES,HUB TAGS,FULL DESCRIPTION,ACTIVELY HIRING,INVESTMENT STAGE,NUMBER OF FOUNDERS (ALUMNI),NUMBER OF FOUNDERS,NUMBER OF FUNDING ROUNDS,TOTAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT CURRENCY,TOTAL FUNDING AMOUNT CURRENCY (IN USD),NUMBER OF ACQUISITIONS,STOCK SYMBOL,SIMILAR COMPANIES,SEMRUSH - MONTHLY VISITS,SEMRUSH - AVERAGE VISITS (6 MONTHS),SEMRUSH - VISIT DURATION,SEMRUSH - MONTHLY VISITS GROWTH,SEMRUSH - VISIT DURATION GROWTH,SEMRUSH - PAGE VIEWS / VISIT,SEMRUSH - PAGE VIEWS / VISIT GROWTH,SEMRUSH - BOUNCE RATE,SEMRUSH - BOUNCE RATE GROWTH,SEMRUSH - GLOBAL TRAFFIC RANK,SEMRUSH - MONTHLY RANK CHANGE (#),SEMRUSH - MONTHLY RANK GROWTH,ABERDEEN - IT SPEND,ABERDEEN - IT SPEND CURRENCY,ABERDEEN - IT SPEND CURRENCY (IN USD),IPQWERY - PATENTS GRANTED,IPQWERY - TRADEMARKS REGISTERED,IPQWERY - MOST POPULAR PATENT CLASS,IPQWERY - MOST POPULAR TRADEMARK CLASS,APPTOPIA - NUMBER OF APPS,APPTOPIA - DOWNLOADS LAST 30 DAYS,ORGANIZATION NAME,INDUSTRY LINKEDIN,WEBSITE,COMPANYLINKEDINURL,FACEBOOKURL,TWITTER URL,COMPANY STREET,COMPANY CITY,COMPANY STATE,COMPANY COUNTRY,COMPANY POSTAL CODE,COMPANY ADDRESS,KEYWORDS,COMPANY PHONE,SEO DESCRIPTION,TECHNOLOGIES,SIC CODES,SHORT DESCRIPTION
"um marketplace, um app, um site, uma plataforma de tecnologia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"investida por monashees+, bessemer venture partners, dynamo e grupo globo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabesp,"Engineering, Operations","Water, Water Purification","São Paulo, Sao Paulo, Brazil",Brazil,Sabesp is a Brazilian company that engages in providing basic sanitation services.,1/1/1973,year,,10.001+,IPO,7/26/2023,Post-IPO Debt,,,"Natural Resources, Sustainability",Public,1/7/2000,,,,,,,,,B3 - Brazil Stock Exchange and OTC Market,,,,,,,,,,1/13/2023,"18,75","18,692",,,Latin America,,Active,site.sabesp.com.br,twitter.com/sabesp,facebook.com/OficialSabesp/,linkedin.com/company/sabesp/,,,34,,"Sabesp is a Brazilian company that engages in providing basic sanitation services such as distribution of treated water, collection, and treatment of sewage. It is currently responsible for supplying water and collecting and treating sewage in the 367 municipalities of São Paulo state. It supplies 27.9 million people with water and provides sewage collection services to 21.5 million people. Sabesp was founded in 1973 and is headquartered in Sao Paulo, Brazil.",,,,,2,"1,410,000,000",BRL,"285,209,256",,SBSP3,3,,,,,,,,,,,,,,,,,,,,,,Sabesp,,,,,,,,,,,,,,,,,
EBANX,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical & Science, Operations, Pro Services, Product, Sales","E-Commerce, Financial Services, FinTech, Payments","Curitiba, Parana, Brazil",Brazil,EBANX is an integrated financial services company offering an end-to-end payment solution across the entire e-commerce transaction flow.,2/1/2012,month,"Alphonse Voigt, João Del Valle, Wagner Ruiz",501 to 1.000,Early Stage Venture,6/15/2021,Series B,3,,"Commerce and Shopping, Financial Services, Payments",Private,,,,,,,,,,,,,,,,,,,,9/13/2023,"31,43","31,275",,,Latin America,$50M to $100M,Active,business.ebanx.com/en/,twitter.com/ebanxbr,facebook.com/ebanx,ee.linkedin.com/company/ebanx,bizdev@ebanx.com,554130448500,113,Unicorn,"EBANX is an integrated international financial services company offering an end-to-end payment solution across the entire e-commerce transaction flow. It also helps international business to grow faster in LatAm offering a local payments experience for your customers. ' In 2015, The company received EY Entrepreneur of the Year Award, Best International CNP Program Award, and Endeavor “O Pulo do Gato” Award. EBANX was founded in February 2012 and is headquartered in Parana, Brazil.",Yes,,,3,3,"460,000,000",USD,"460,000,000",4,,412,,,,,,,,,,,,,,,,,,,,1,,EBANX,,,,,,,,,,,,,,,,,
Media Options,"Management, Marketing, Sales","Internet, Search Engine","Panama City, Panama, Panama",Panama,Domain Broker & Domain Investment,1/1/2009,year,Andrew Rosener,1 to 10,,,,,,Internet Services,Private,,,,,,,,,,,,,,,,,,,,11/13/2020,"302,257","294,223",,,"Central America, Latin America",$10M to $50M,Active,MediaOptions.com,twitter.com/mediaoptions,facebook.com/MediaOptionsInc,linkedin.com/company/media-options-inc,info@mediaoptions.com,,6,,MediaOptions is an industry leading Domain Broker and online media consulting firm.   We specialize in private and mission critical domain acquisitions as well as premium domain name sales & marketing.  MediaOptions has completed well into the 9 figures of domain name sales & acquisitions and is responsible for the sale of some of the most valuable domain names in history.  MediaOptions is recognized throughout the industry as a thought leader and expert on domain valuation methodology and domain name economics.,,,,1,,,,,,,3,"32,769","66,498.33",319,-35.63%,203.81%,1.47,26.22%,76.69%,-14.82%,"773,485","196,256","0,34",,,,0,2,,Advertising; business,,,Media Options,,,,,,,,,,,,,,,,,
Wiz Soluções,"Operations, Product, Sales","Financial Services, Insurance","São Paulo, Sao Paulo, Brazil",Brazil,Wiz Co provides financial and insurance services.,7/5/1973,day,,1.001 to 5.000,IPO,,,,,Financial Services,Public,5/31/2015,,,,,,,,,B3 - Brazil Stock Exchange and OTC Market,,,,,,,,,,12/13/2022,"441,542","428,83",,,Latin America,$100M to $500M,Active,wizsolucoes.com.br,twitter.com/wizsolucoes,facebook.com/wizsolucoes/,linkedin.com/company/wizsolucoes/,,,1,,"Wiz Co is a business ecosystem in insurance and financial products that ranges from the distribution, management, and operation of channels to the creation of flexible and innovative solutions for the segment.",,,,,,,,,,WIZS3,9,"4,783","10,411","1,032",-32.22%,432.48%,1.31,30.57%,69.43%,-30.57%,"2,819,750","608,372",27.51%,,,,,,,,,,Wiz Soluções,,,,,,,,,,,,,,,,,
Eletromidia,"Engineering, Management, Marketing, Operations, Product, Sales","Advertising, Internet of Things, Social Media","São Paulo, Sao Paulo, Brazil",Brazil,Offers innovative advertising solutions through a network of static and digital panels in high traffic indoor and outdoor locations.,1/1/1993,year,,10 to 250,M&A,3/6/2023,Post-IPO Secondary,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",Public,2/19/2021,,,,,,,,,B3 - Brazil Stock Exchange and OTC Market,,,Eletromidia acquired by H.I.G. Capital,H.I.G. Capital,9/9/2013,day,,,,3/15/2022,"194,137","190,494",,,Latin America,$50M to $100M,Active,eletromidia.com.br,,facebook.com/redeeletromidia,linkedin.com/company/142674,comercial@eletromidia.com.br,,7,,"Eletromidia offers innovative advertising solutions through a network of static and digital panels in high traffic indoor and outdoor locations. Present in 18 cities across Brazil, the Company reaches over 11 million people daily. Eletromidia also develops full-fledge display and lighting solutions for major events.",,,,,2,,USD,,5,ELMD3,3,"291,505","67,555.33",359,857.8%,-85.22%,2.42,57.89%,"0,35",-51.23%,"165,78","-655,705",-79.82%,,,,,,,,1,,Eletromidia,Marketing & Advertising,eletromidia.com.br,linkedin.com/company/eletromidia,pt-br.facebook.com/Redeeletromidia/,twitter.com/redeeletromidia,4300 Avenida Brigadeiro Faria Lima,São Paulo,São Paulo,Brazil,04538-132,"4300 Avenida Brigadeiro Faria Lima, São Paulo, State of São Paulo, Brazil, 04538-132",,551149350000,"Eletromidia - Out of Home, transformamos trajetos em experiências, tanto na rua quanto em transportes, edifícios, shoppings ou aeroportos.","Gmail, Outlook, Google Apps, Google Cloud Hosting, Backbone JS Library, Hubspot, React Redux, Mobile Friendly, Google Dynamic Remarketing, Facebook Widget, Hotjar, Google Tag Manager, Bootstrap Framework, DoubleClick, Linkedin Login, Facebook Login (Connect), reCAPTCHA, DoubleClick Conversion, Apache, Facebook Custom Audiences, YouTube, Google Maps (Non Paid Users), Linkedin Widget, Google Font API, WordPress.org, Google Maps, Google Analytics, Linkedin Marketing Solutions",,"O tempo fez a gente evoluir, inovar e ganhar experiência pra tirar milhões de pessoas do piloto automático. Foi assim que a Eletromidia e Elemidia se juntaram e criaram a nova Eletromidia, que acredita que todo dia pode ser diferente. Seja na rua, nos meios de transporte, elevadores, shoppings e aeroportos, sempre pode ter algo novo pra fazer seus olhos e marcas brilharem."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Conteúdos e serviços que com inteligência, análise de dados, conectividade e interação transformam a vida da cidade e o seu caminho.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toesca,,Asset Management,"Las Condes, Region Metropolitana, Chile",Chile,Toesca is an independent asset manager formed by a group of professionals with a long history working together investing in Latam Markets.,1/1/2016,year,,11 to 50,,,,,,Financial Services,Private,,,,,,,,,,,,,,,,,,,,7/15/2022,"1,758,949","1,723,350",,,Latin America,,Active,toesca.com,,,linkedin.com/company/toescaassetmanagement/,contacto@toesca.com,,1,,,,,,,,,,,,,,"4,129",,22,,,2.38,,0,,"3,084,713",,,,,,,,,,,,Toesca,Financial Services,toesca.com,linkedin.com/company/toescaassetmanagement,,,140 Magdalena,Las Condes,Región Metropolitana,Chile,,"140 Magdalena, Las Condes, Región Metropolitana, Chile",,56226462000,,"Outlook, Incapsula, Gusto",,"Un grupo de ex ejecutivos de bancos chilenos y extranjeros con un amplio conocimiento y experiencia, que se especializa en inversiones en Latinoamérica."
Gol Transportes Aéreos,"Information Technology, Operations, Product, Sales","Internet, Transportation","Paulo Ramos, Maranhao, Brazil",Brazil,"Gol Transportes Aéreos is a Brazilian airline based in São Paulo, Brazil.",1/1/2000,year,,10.001+,IPO,2/7/2022,Post-IPO Equity,,,"Internet Services, Transportation",Public,6/24/2004,,,"202,000,000",USD,"202,000,000",,,,NYSE - New York Stock Exchange,,,,,,,,,,5/16/2022,"31,434","31,279",,,Latin America,$500M to $1B,Active,voegol.com.br/pt-br/paginas/default.aspx,twitter.com/voegoloficial,facebook.com/voegol,linkedin.com/company/gol,,,68,,"GOL offers the best travel experience to its passengers, including: the largest inventory of seats and the most legroom; the most complete platform with internet, movies and live TV; and the best loyalty program, SMILES. In cargo transportation, GOLLOG delivers parcels to various regions in Brazil and abroad. The Company has a team of 15,000 highly qualified airline professionals focused on Safety, GOL's number one value, and operates a standardized fleet of 127 Boeing 737 aircraft. GOL's shares are traded on the NYSE (GOL) and the B3 (GOLL4).",,,,,2,"800,000,000",USD,"800,000,000",,GOL,8,"5,457,529","6,273,288.83",488,-21.03%,-16.3%,2.42,-15.47%,45.41%,-3.22%,"17,265","3,791",28.14%,,,,,,,,8,"86,717",Gol Transportes Aéreos,,,,,,,,,,,,,,,,,
Bankaool,Operations,"Banking, Financial Services, FinTech","Mexico City, Distrito Federal, Mexico",Mexico,First digital bank in Mexico,1/1/2005,year,Francisco Meré,51 to 100,,,,,,"Financial Services, Lending and Investments",Private,,,,,,,,,,,,,,,,,,,,5/16/2023,"294,09","286,362",,,Latin America,,Active,bankaool.com,twitter.com/Bankaool,facebook.com/pg/Bankaool-159921167552218/,in.linkedin.com/company/agrofinanzas-s-a-instituci-n-de-banca-m-ltiple,bankaool@bankaool.com,,2,,"Bankaool build a different way of doing banking. Bankaool is the first online Mexican bank - without branches - where you can open a bank account and / or apply for credits online, as well as make all your bank moves wherever you want and in a simple, safe and convenient way.",,,,1,,,,,,,5,605,,13,,,2,,0,,"6,641,660",,,,,,,,,,3,104,Bankaool,,bankaool.com,,facebook.com/bankaoolmx/,twitter.com/BankaoolM,495 Avenida Santa Fe,,Mexico City,Mexico,5340,"495 Avenida Santa Fe, Mexico City, Mexico, 05340",,528008324411,"Bankaool, ahora tus finanzas tienen flow","Cloudflare DNS, Outlook, CloudFlare Hosting, Facebook Login (Connect), Facebook Custom Audiences, Facebook Widget, ASP.NET, Google Maps, Mobile Friendly, Google Maps (Non Paid Users), Google Tag Manager, Google Play, Render, Gusto",6199,
BRK Ambiental,"Engineering, Finance, Information Technology, Legal, Operations","Environmental Engineering, Waste Management","Salvador, Sao Paulo, Brazil",Brazil,BRK Ambiental offers waste disposal services in Brazil.,1/1/2008,year,,10.001+,M&A,5/25/2018,Debt Financing,,,"Science and Engineering, Sustainability",Private,,,,,,,,,,,,,BRK Ambiental acquired by Brookfield Asset Management,Brookfield Asset Management,8/17/2016,day,"1,650,000,000",USD,"1,650,000,000",8/16/2022,"31,635","31,468",,,Latin America,$1B to $10B,Active,brkambiental.com.br,twitter.com/brkambiental,facebook.com/brk.ambiental/,linkedin.com/company/brkambiental/,vep@fabricadeflorestas.org.br,557121051111,44,,"BRK Ambiental was created in 2008 with the mission to promote public health and the preservation of the environment and is designed correctly waste produced by the population and industries. Through partnerships with public and private companies and municipalities and states, the company develops solutions in three segments:  Water and sewage, complementing government investments necessary to ensure quality services, serving 16.1 million people from more than 180 municipalities; Utilities, enabling utility plants outsourcing to promote environmental management; Waste through the diagnosis and remediation of contaminated sites, atmospheric monitoring, among other services.",,,,,1,"2,600,000,000",BRL,"711,393,236",,,28,"240,986","271,906.67",432,-31.27%,-51.68%,1.54,27.67%,74.35%,-11.7%,"190,118","45,569",31.52%,,,,0,3,,Advertising; business,1,"16,133",BRK Ambiental,Environmental Services,brkambiental.com.br,linkedin.com/company/brkambiental,facebook.com/brk.ambiental/,twitter.com/brkambiental,14261 Avenida das Nações Unidas,São Paulo,São Paulo,Brazil,04795-100,"14261 Avenida das Nações Unidas, São Paulo, State of São Paulo, Brazil, 04795-100",saneamento,,,"SendInBlue, Outlook, Microsoft Azure Hosting, Citrix, OneTrust, MailChimp, Mobile Friendly, Bootstrap Framework, Google Tag Manager, Facebook Login (Connect), AddThis, Google Analytics, WordPress.org, Google Font API, Moat, Facebook Widget, Facebook Custom Audiences",,"A BRK é uma das maiores empresas privadas de saneamento do país e está presente em 13 estados e mais de 100 municípios, beneficiando a vida de mais de 16 milhões de pessoas."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investimos e operamos sistemas de água e esgoto em 13 estados do Brasil, fornecendo um serviço que faz toda a diferença para a saúde e o bem-estar da população. Este é o nosso jeito de contribuir para o desenvolvimento dos lugares onde estamos e transformar a vida de milhões de pessoas levando o saneamento para muito além do básico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMARO,"Engineering, Finance, Information Technology, Management, Marketing, Operations, Sales, Support","Beauty, E-Commerce, Fashion, Home Decor, Marketing, Retail, Retail Technology, Women's","São Paulo, Sao Paulo, Brazil",Brazil,"AMARO is a RetailTech that operates an omni-channel ecosystem for fashion, beauty and home products in the premium mass market",1/1/2012,year,"Dominique Oliver, Lodovico Brioschi, Roberto Thiele",501 to 1.000,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Hardware, Real Estate, Sales and Marketing, Software",Private,,,,,,,,,,,,,,,,,,,,9/16/2021,"163,617","161,036",,,Latin America,Less than $1M,Active,amaro.com,twitter.com/amaro,facebook.com/amaro,linkedin.com/company/amaro,press@amaro.com,,2,,,,,,3,,,,,,,9,"1,123,764","627,217.5",252,150.9%,-5.62%,1.84,-8.9%,48.96%,-20.3%,"60,834","-59,973",-49.64%,,,,,,,,,,AMARO,Internet,amaro.com,linkedin.com/company/amaro,facebook.com/amarofashion,twitter.com/amaromoda,215 Rua Gilberto Sabino,São Paulo,São Paulo,Brazil,05425-020,"215 Rua Gilberto Sabino, São Paulo, State of São Paulo, Brazil, 05425-020","e-commerce, fashion, retail, consumer internet, internet, information technology, performance marketing, marketing, supply chain management, digital marketing, social media, design, php, frontend, business intelligence, apparel, backend, ecommerce, data science, web development, java, ios, android, agile development, api, data engineering, beauty, wellness, home, home decor",551132304500,"AMARO | o melhor da moda, beleza, bem-estar e casa","Route 53, Amazon SES, Mailchimp Mandrill, Gmail, Outlook, Google Apps, MailChimp SPF, Sailthru, Zendesk, Grafana, Atlassian Cloud, React Redux, React, RTB House, DoubleClick, Google AdWords Conversion, Facebook Login (Connect), Facebook Custom Audiences, WordPress.org, Segment.io, Lever, iTunes, Google Tag Manager, DoubleClick Conversion, Google Play, Criteo, Mobile Friendly, Google Dynamic Remarketing, Google AdSense, Facebook Widget, Google Analytics, Yotpo, AdPilot",,"AMARO is a RetailTech that operates an omni-channel ecosystem for lifestyle products. It offers the best in fashion, beauty, wellness and home decor in the premium mass market."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMARO applies creativity, technology and data to deliver a seamless and delightful customer experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Founded in 2013 and headquartered in São Paulo, the company has 800 employees. Committed to the planet's future, AMARO is the first consumer company in Brazil to become 100% carbon negative.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ama.ro/sustentabilidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metrogas,,"Energy, Industrial, Oil and Gas","Santiago De Los Caballeros, Santiago, Dominican Republic",Dominican Republic,Metrogas is an oil and gas company that provides gas sales and distribution services.,1/1/2005,year,,251 to 500,,,,,,"Energy, Manufacturing, Natural Resources",Private,,,,,,,,,,,,,,,,,,,,9/16/2022,"707,094","687,8",,,Latin America,$50M to $100M,Active,metrogas.com.do,twitter.com/MetroGasRD,facebook.com/metrogasrd,linkedin.com/company/metrogas-dominicana,info@metrogas.com.do,,1,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,1,,Metrogas,Oil & Energy,metrogas.com.do,linkedin.com/company/metrogas-dominicana,,,Duarte,Santiago De Los Caballeros,Santiago,Dominican Republic,51700,"Duarte, Santiago De Los Caballeros, Santiago, Dominican Republic, 51700","venta de gas licuado de petroleo industrial, venta de glp resodencial, venta de gas licuado de petroleo vehicular a traves de estaciones",,,"Google Cloud Hosting, Bootstrap Framework, Apache, Google Font API, Ubuntu, Facebook Custom Audiences, Google Tag Manager, WordPress.org, Google Analytics, Facebook Login (Connect), reCAPTCHA, Google Maps, Facebook Widget, Mobile Friendly, Nginx, Gusto",,"Metrogas, es una marca que integra la herencia y los valores  del grupo Martí y que ha desarrollado un nuevo concepto para ser una compañía líder, por sus valores orientados a resultados prácticos y efectivos aplicados a una mayor responsabilidad ambiental, e ideas innovadoras."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reconocidos por nuestra seguridad, eficiencia, experiencia y calidad en el buen servicio, nos ha colocado como una de las empresas distribuidoras de combustibles de mayor auge en el país, siendo reconocidos como una de las empresas más destacada en renglón de ventas y distribución de gas licuado de petroleo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARANAPANEMA,"Finance, Information Technology, Operations","Industrial, Industrial Engineering","Santo André, Sao Paulo, Brazil",Brazil,"Paranapanema is a manufacturer and seller of rebar, drawn wires, laminates, bars, and tubes.",1/1/1956,day,"Aloysio Ramalho Foz, Jose carlos De Araujo",1.001 to 5.000,IPO,,,,,"Manufacturing, Science and Engineering",Public,1/1/1971,,,,,,,,,B3 - Brazil Stock Exchange and OTC Market,,,,,,,,,,11/16/2022,"1,102,068","1,074,964",,,Latin America,$500M to $1B,Active,paranapanema.com.br,,facebook.com/paranapanemabrazil/,linkedin.com/company/paranapanema-s-a-/,comunicacao@paranapanema.com.br,,4,,"Paranapanema produces semi-manufactured copper and its alloys. They produce and sell a range of products, including rebar, drawn wires, laminates, bars, tubes, and connections. They operate in the smelting and refining of copper through the pyrometallurgical process, producing cathodes, rods, drawn wires, sulfuric acid, oleum, iron silicate, and anodic mud.",,,,2,,,,,,PMAM3,4,"1,321","6,017.67",139,-81.22%,561.9%,2,42.44%,0,-18.17%,"5,574,063","3,358,255",151.56%,,,,,,,,,,PARANAPANEMA,Mining & Metals,paranapanema.com.br,linkedin.com/company/paranapanemaoficial,facebook.com/paranapanemabrazil,,500 Rua Felipe Camarão,Santo André,São Paulo,Brazil,09220-580,"500 Rua Felipe Camarão, Santo André, São Paulo, Brazil, 09220-580","catodos, vergalhoes, fios e trefilados, laminados, barras e perfis de cobre e latao, tubos industriais, hidrolar e conexoes, acido sulfurico, escoria granulada, lama anodica, oleum",,Relações com Investidores,"Outlook, MailChimp SPF, Microsoft Office 365, Amazon AWS, reCAPTCHA, Google Tag Manager, Google Font API, WordPress.org, AddThis, Mobile Friendly",,"Paranapanema S.A. is located in the municipality of Dias d'Ávila, Bahia, and it is Brazil's sole producer of electrolytic copper using the pyrometallurgical process. The business of Paranapanema S.A. is the manufacturing and sale of electrolytic copper cathodes, wire rods, stretched wire, sulfuric acid, anodic slime(precious metals), granulated ferrous slag by the brand CARAÍBA and manufacturing and sale of copper tubes and connections, bars, profiles, flexible cables by the brand ELUMA. In order to serve the market and satisfy the requirements of clients, shareholders, employees, suppliers and society.."
Méliuz,"Engineering, Operations, Product, Sales","Advertising, Affiliate Marketing, Coupons, Credit Cards, Digital Media, E-Commerce, Shopping","Belo Horizonte, Minas Gerais, Brazil",Brazil,Meliuz owns and operates an online platform that offers consumers with free discount coupons from Brazilian online stores.,1/1/2011,year,"Israel Salmen, Ofli Guimaraes",10 to 250,IPO,4/13/2021,Non-equity Assistance,,,"Advertising, Commerce and Shopping, Financial Services, Lending and Investments, Media and Entertainment, Payments, Sales and Marketing",Public,11/6/2020,,,"662,000,000",BRL,"123,396,957",,,,B3 - Brazil Stock Exchange and OTC Market,,,,,,,,,,3/17/2023,"139,491","137,598",,,Latin America,$10M to $50M,Active,meliuz.com.br,twitter.com/meliuzoficial,facebook.com/Meliuz,linkedin.com/company/meliuz/,sac@meliuz.com.br,553125166258,15,,"Meliuz owns and operates an online platform that offers consumers with free discount coupons from Brazilian online stores. Israel Salmen and and Ofli Guimarães founded it on September 12, 2011, with its headquarters in Belo Horizonte in Brazil.",,,,2,6,,USD,,2,CASH3.SA,8,"2,676,218","3,676,604.17",504,-45.65%,"0,6",2.63,5.29%,47.47%,1.47%,"30,8","12,614",69.36%,,,,,,,,1,"142,505",Méliuz,Internet,meliuz.com.br,linkedin.com/company/meliuz,facebook.com/Meliuz/,twitter.com/MeliuzOficial,Rua Herculano de Freitas,Belo Horizonte,Minas Gerais,Brazil,,"Rua Herculano de Freitas, Belo Horizonte, State of Minas Gerais, Brazil","e-commerce, lead generation, deals, coupons, advertising, consumer internet, internet, information technology, cupom, cashback, ofertas, dinheiro de volta, inteligencia, varejo, vendas, ecommerce, dados, marketing, estrategia",553125166258,Cupom de desconto para economizar e ainda receber parte do dinheiro de volta é só no Méliuz. Quer saber como? Acesse agora mesmo!,"Route 53, Mailchimp Mandrill, Sendgrid, Gmail, Google Apps, MailChimp SPF, Microsoft Office 365, Zendesk, Amazon AWS, ExactTarget, CloudFlare, Atlassian Cloud, Google Maps (Non Paid Users), Apache, Facebook Login (Connect), Facebook Custom Audiences, Google Analytics, Google Maps, DoubleClick, Incapsula, Omniture (Adobe), Sift Science, Google Play, Google Tag Manager, Media.net, New Relic, YouTube, Typekit, OpenSSL, Mobile Friendly, WordPress.org, Google AdSense, JQuery 1.11.1, Google Font API, Google AdWords Conversion","5399, 5990","We are a technology company that offers digital solutions through a platform that integrates marketplaces and financial services, and connects over 800 partner stores with Brazilian consumers."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Through our website, app, and browser extension, we promote discounts, services, and coupons. We also develop special cashback campaigns for our marketplace partners and financial services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We are passionate about our customers and partners, and we believe in smarter ways to shop. One of our principles is to build a service in which all parties take advantage: our partners, with an increase in their sales and customer retention; our customers, who are rewarded by shopping on their favorite stores and get to enjoy multiple financial services on a single app; and our company, which receives a commission for every purchase initiated on our platform.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
